PERMIT_NUM,STRUCTURE_TYPE,ADDRESS,City,Country,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,RESIDENTIAL
11 258865 BLD,SFD - Detached,"57 STUART AVE   Toronto, Ontario, Canada",Toronto,Canada,2011-08-17,2011-09-08,2016-07-29,Closed,Two storey dwelling with attached garage and finished basement,Sfd,Sfd,1,0,"570,000",0,401.52
15 184209 BLD,SFD - Detached,"30 AGAR CRES   Toronto, Ontario, Canada",Toronto,Canada,2015-07-02,2015-10-16,2016-11-21,Closed,"Permit to demolish existing 1-Storey single family detached house & construct new 2-Storey single faily detached house with attached garage, finished basement, basement walkout, covered porch, rear yard deck, & 2nd Floor balcony.",Single Family Detached,Single Family Detached,1,0,"570,000",0,313.44
15 193444 BLD,SFD - Detached,"95 CHURCHILL AVE   Toronto, Ontario, Canada",Toronto,Canada,2015-07-20,2015-09-03,2016-11-16,Closed,Construct a new 2-storey single family detached dwelling with garage,Sfd - Dwelling,Sfd - Dwelling,1,0,"570,000",0,356.32
16 107411 BLD,SFD - Detached,"45 CHURCHILL AVE   Toronto, Ontario, Canada",Toronto,Canada,2016-01-22,2016-01-29,2017-12-20,Closed,Construct new 3 storeys  detached house,Sfd-Detached,Sfd-Detached,1,0,"570,000",0,353.21
16 107418 BLD,SFD - Detached,"45 CHURCHILL AVE   Toronto, Ontario, Canada",Toronto,Canada,2016-01-22,2016-02-10,2017-11-07,Closed,Two storey dwelling with attached garage at grade,Sfd,Sfd,1,0,"570,000",0,353.21
16 120365 BLD,SFD - Detached,"62 NEWTON DR   Toronto, Ontario, Canada",Toronto,Canada,2016-02-24,2016-03-10,2017-11-07,Closed,Proposal to demolish existing dwelling and construct new 3 storey detached single family dwelling with integral garage and finished basement.,Sfd,Sfd,1,0,"570,000",0,353.73
15 106872 BLD,SFD - Semi-Detached,"1216 ROYAL YORK RD   Toronto, Ontario, Canada",Toronto,Canada,2015-01-21,2015-03-06,2018-06-15,Closed,Proposal for a new 3 storey semi-detached single family dwelling.,Semi,Semi,1,0,"570,000",0,361.2
16 232899 BLD,SFD - Detached,"360 FAIRLAWN AVE   Toronto, Ontario, Canada",Toronto,Canada,2016-10-04,2016-11-23,2018-12-06,Closed,Proposed three storey SFD-Detached w/ finished basement ,Sfd-Detached,Sfd-Detached,1,0,"570,000",0,284.42
15 200043 BLD,SFD - Detached,"369 ST GERMAIN AVE   Toronto, Ontario, Canada",Toronto,Canada,2015-07-31,2015-11-18,2017-03-20,Closed,Proposal to construct a new 3 storey SFD-detached dwelling.  See also 15 200037 DEM.,Vacant,Sfd-Detached,1,0,"568,800",0,316
14 117136 BLD,SFD - Detached,"180 JOICEY BLVD   Toronto, Ontario, Canada",Toronto,Canada,2014-02-13,2014-05-07,2015-03-26,Closed,Three storey dwelling with attached garage,Sfd,Sfd,1,0,"567,968",0,354.98
12 168079 BLD,SFD - Detached,"340 GREENFIELD AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-05-07,2012-08-01,2014-02-20,Closed,Two storey dwelling with attached garage at grade.,Sfd,Sfd,1,0,"566,514",0,366.75
13 266474 BLD,SFD - Detached,"63 CENTRE AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-11-18,2014-02-10,2015-05-29,Closed,Construction of a new two storey single family detached dwelling (316.6m2) with integral at grade garage and finished basement area (148.36m2),Sfd - Detcahed,Sfd - Detcahed,1,0,"566,000",0,316.6
15 247033 BLD,SFD - Detached,"102 DINNICK CRES   Toronto, Ontario, Canada",Toronto,Canada,2015-11-04,2015-12-10,2017-07-04,Closed,New two storey dwelling with attached garage.,Sfd,Sfd,1,0,"565,500",0,353.41
15 144416 BLD,SFD - Detached,"131 ANNDALE DR   Toronto, Ontario, Canada",Toronto,Canada,2015-04-21,2015-05-28,2016-11-23,Closed,"New 2 storey dwelling, existing to be demolished",Sfd,Sfd,1,0,"565,000",0,300
12 160579 BLD,SFD - Detached,"40 BRIAR HILL AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-04-25,2012-07-06,2014-07-21,Closed,Three storey dwelling with attached garage at grade,Sfd,Sfd,1,0,"564,992",0,352.7
12 158879 BLD,SFD - Detached,"15 SHADWELL PL   Toronto, Ontario, Canada",Toronto,Canada,2012-04-23,2012-08-15,2014-04-16,Closed,Two storey dwelling with attached garage at grade,Sfd,Sfd,1,0,"564,200",0,363
12 290175 BLD,SFD - Detached,"46 PAGE AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-12-06,2013-03-15,2015-07-09,Closed,"Two storey dwelling with attached garage - Lot 1  (Crafthouse Model 'E')
Parks Levy payments made Oct.05, 2012  and lands transferred Dec. 4th, 2012.",School,Sfd,1,0,"563,808",0,352.38
12 167593 BLD,SFD - Detached,"207 KINGSDALE AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-05-07,2012-08-16,2014-06-26,Closed,Two storey single family dwelling with attached garage.,Sfd,Sfd,1,0,"563,192",0,402.28
12 233054 BLD,SFD - Detached,"365 BROOKE AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-08-21,2012-11-22,2014-10-28,Closed,Two storey dwelling with attached garage at grade,Sfd,Sfd,1,0,"563,000",0,480.907
12 215377 BLD,SFD - Detached,"167 JOICEY BLVD   Toronto, Ontario, Canada",Toronto,Canada,2012-07-20,2012-10-26,2014-01-30,Closed,Two storey dwelling with integral at grade garage and finished basement.,Sfd,Sfd,1,0,"562,656",0,351.66
10 155264 B01,Townhouses,"2277-2295 SHEPPARD AVE W Toronto, Ontario, Canada",Toronto,Canada,2010-04-20,2010-09-08,2015-02-17,Closed,"MODEL NAME ""BLOCK 'A'"" ELEVATION ""3""
To construct 3 storey ""apartment house dwelling""  (stacked townhouse) block (A) with 11 dwelling units and 6 parking garages.",Vacant,Apartment Building,11,0,"562,000",0,949.53
10 155264 B11,Townhouses,"2277-2295 SHEPPARD AVE W Toronto, Ontario, Canada",Toronto,Canada,2010-04-20,2010-09-08,2015-02-18,Closed,"MODEL NAME ""BLOCK 'K'"" ELEVATION ""2""
To construct 3 storey stacked townhouse block (K) with 11 dwelling units and 6 parking garages.",Vacant,Apartment Building,11,0,"562,000",0,949.72
10 282294 BLD,SFD - Detached,"150 MAXOME AVE   Toronto, Ontario, Canada",Toronto,Canada,2010-10-21,2011-06-02,2014-09-02,Closed,Two storey dwelling,Sfd,Sfd,1,0,"561,000",0,384.533
13 136099 BLD,SFD - Detached,"114 ESTELLE AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-03-19,2013-04-26,2014-10-17,Closed,Two storey dwelling with attached garage and finished basement,Sfd,Sfd,1,0,"560,244",0,318.8
13 167681 BLD,SFD - Detached,"55 MCBAIN AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-05-13,2013-05-29,2014-08-06,Closed,Two storey single family dwelling with integral at grade garage.,Sfd,Sfd,1,0,"560,000",0,308.61
10 155264 B02,Townhouses,"2277-2295 SHEPPARD AVE W Toronto, Ontario, Canada",Toronto,Canada,2010-04-20,2010-09-08,2015-02-17,Closed,"MODEL NAME ""BLOCK 'B'"" ELEVATION ""2""
To construct 3 storey stacked townhouse block (B) with 11 dwelling units and 6 parking garages.",Vacant,Apartment Building,11,0,"560,000",0,945.91
10 155264 B04,Townhouses,"2277-2295 SHEPPARD AVE W Toronto, Ontario, Canada",Toronto,Canada,2010-04-20,2010-09-08,2015-02-18,Closed,"MODEL NAME ""BLOCK 'D'"" ELEVATION ""3""
To construct 3 storey stacked townhouse block (D) with 11 dwelling units and 6 parking garages.",Vacant,Apartment Building,11,0,"560,000",0,945.72
10 155264 B06,Townhouses,"2277-2295 SHEPPARD AVE W Toronto, Ontario, Canada",Toronto,Canada,2010-04-20,2010-09-08,2015-02-17,Closed,"MODEL NAME ""BLOCK 'F'"" ELEVATION ""3""
To construct 3 storey stacked townhouse block (F) with 11 dwelling units and 6 parking garages.",Vacant,Apartment Building,11,0,"560,000",0,945.72
10 155264 B07,Townhouses,"2277-2295 SHEPPARD AVE W Toronto, Ontario, Canada",Toronto,Canada,2010-04-20,2010-09-08,2015-02-17,Closed,"MODEL NAME ""BLOCK 'G'"" ELEVATION ""1""
To construct 3 storey stacked townhouse block (G) with 11 dwelling units and 6 parking garages.",Vacant,Apartment Building,11,0,"560,000",0,949.81
10 155264 B08,Townhouses,"2277-2295 SHEPPARD AVE W Toronto, Ontario, Canada",Toronto,Canada,2010-04-20,2010-09-08,2015-02-17,Closed,"MODEL NAME ""BLOCK 'H'"" ELEVATION ""2""
To construct 3 storey stacked townhouse block (H) with 11 dwelling units and 6 parking garages.",Vacant,Apartment Building,11,0,"560,000",0,945.91
10 155264 B09,Townhouses,"2277-2295 SHEPPARD AVE W Toronto, Ontario, Canada",Toronto,Canada,2010-04-20,2010-09-08,2015-02-17,Closed,"MODEL NAME ""BLOCK 'I'"" ELEVATION ""3""
To construct 3 storey stacked townhouse block (I) with 11 dwelling units and 6 parking garages.",Vacant,Apartment Building,11,0,"560,000",0,945.72
10 155264 B10,Townhouses,"2277-2295 SHEPPARD AVE W Toronto, Ontario, Canada",Toronto,Canada,2010-04-20,2010-09-08,2015-02-17,Closed,"MODEL NAME ""BLOCK 'J'"" ELEVATION ""1""
To construct 3 storey stacked townhouse block (J) with 11 dwelling units and 6 parking garages.",Vacant,Apartment Building,11,0,"560,000",0,949.81
14 210744 BLD,SFD - Detached,"36 ATHABASKA AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-08-22,2014-10-17,2015-10-30,Closed,Proposed construction of a new two storey single family detached dwelling (332.89m2) with integral at grade garage and finished basement area (127.76m2),Sfd - Detached,Sfd - Detached,1,0,"560,000",0,336.392
10 155264 B03,Townhouses,"2277-2295 SHEPPARD AVE W Toronto, Ontario, Canada",Toronto,Canada,2010-04-20,2010-09-08,2017-06-05,Closed,"MODEL NAME ""BLOCK 'C'"" ELEVATION ""1""
To construct 3 storey stacked townhouse block (C) with 11 dwelling units and 6 parking garages.",Vacant,Apartment Building,11,0,"560,000",0,949.81
15 110265 BLD,SFD - Detached,"91 BANNATYNE DR   Toronto, Ontario, Canada",Toronto,Canada,2015-01-29,2015-03-03,2017-02-17,Closed,Two storey dwelling with attached garage and finished basement,Sfd,Sfd,1,0,"560,000",0,311
15 160998 BLD,SFD - Detached,"71 CRAIGMORE CRES   Toronto, Ontario, Canada",Toronto,Canada,2015-05-22,2015-07-16,2017-02-02,Closed,New two storey dwelling with attached garage.,Sfd,Sfd,1,0,"560,000",0,354.085
15 206233 BLD,SFD - Detached,"211 BURNDALE AVE   Toronto, Ontario, Canada",Toronto,Canada,2015-08-13,2015-12-22,2017-02-27,Cancelled,Proposal to construct new two storey detached dwelling with integral garage at grade,Sfd-Detached,Sfd-Detached,1,0,"560,000",0,344
15 126451 BLD,SFD - Detached,"289 DUNFOREST AVE   Toronto, Ontario, Canada",Toronto,Canada,2015-03-11,2015-05-22,2018-03-23,Closed,Construct a new three-storey single family detached dwelling (539m2) with attached garage,Sfd-Detached,Sfd-Detached,1,0,"560,000",0,509.6
16 143579 B17,SFD - Detached,"85 KEELER BLVD   Toronto, Ontario, Canada",Toronto,Canada,2016-04-20,2016-11-17,2018-06-08,Closed,"MODEL # ""4003"" ELEVATION ""A""
construct new 2 storey house",Vacant,Single Family Dwelling,1,0,"560,000",0,311.77
11 167832 BLD,SFD - Detached,"27 GOODERHAM DR   Toronto, Ontario, Canada",Toronto,Canada,2011-04-07,2011-05-05,2015-07-22,Closed,construct a new two storey single family dwelling,Single Family Dwelling,Single Family Dwelling,1,0,"559,964",0,399.974
11 115506 BLD,SFD - Detached,"46 CASTLEWOOD RD   Toronto, Ontario, Canada",Toronto,Canada,2011-01-27,2011-03-01,2014-09-03,Closed,Three storey dwelling,Sfd,Sfd,1,0,"559,616",0,349.76
13 238610 BLD,SFD - Detached,"41 GROVEDALE AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-09-19,,2014-10-07,Cancelled,To construct new 2 storey single family dwelling with attached garage.,Single Family Dwelling,New Single Family Dwelling,1,0,"556,700",0,347.94
12 268849 BLD,SFD - Detached,"134 OLD ORCHARD GRV   Toronto, Ontario, Canada",Toronto,Canada,2012-10-26,2012-11-28,2014-12-16,Closed,"Two storey single family dwelling with integral at grade garage and finished basement.
See 12-268857 DEM folder.
Refer to COA decision A541/NY  [A808/12NY ??]",Sfd,Sfd,1,0,"556,285",0,321.23
17 237198 B03,Townhouses,"117 ROSELAWN AVE   Toronto, Ontario, Canada",Toronto,Canada,2017-09-22,,2017-12-06,Cancelled,"Construct a three storey townhouse  Unit 4, with a shared underground parking garage",Vacant,Sfd-Townhouse,1,0,"555,750",0,243.24
16 169207 BLD,SFD - Detached,"386 BROOKDALE AVE   Toronto, Ontario, Canada",Toronto,Canada,2016-06-07,2016-07-29,2018-03-07,Closed,Proposal to demolish existing dwelling and construct new 3 storey detached single family dwelling with integral garage and rear deck.,Sfd,Sfd,1,0,"555,740",0,277.87
11 227072 BLD,SFD - Detached,"496 FAIRLAWN AVE   Toronto, Ontario, Canada",Toronto,Canada,2011-06-24,2011-08-02,2015-11-03,Closed,New two storey dwelling,Sfd,Sfd,1,0,"555,000",0,471.63
14 221772 BLD,SFD - Detached,"11 CAMBORNE AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-09-15,2014-10-08,2016-04-15,Closed,New two storey dwelling with finished basement,Sfd,Sfd,1,0,"554,928",0,314.2
10 197078 BLD,SFD - Detached,"5 CARONPORT CRES   Toronto, Ontario, Canada",Toronto,Canada,2010-06-15,2010-08-05,2016-10-03,Closed,Proposed 3 storey sfd,Sfd,Sfd,1,0,"554,190",0,358.6
13 128848 BLD,SFD - Detached,"10 MANOR HAVEN RD   Toronto, Ontario, Canada",Toronto,Canada,2013-03-06,2013-09-10,2016-02-01,Closed,Two storey single family dwelling with integral at grade garage and finished basement.,Sfd,Sfd,1,0,"552,000",0,317.5
15 147762 BLD,SFD - Detached,"9 FAIRWEATHER RD   Toronto, Ontario, Canada",Toronto,Canada,2015-04-28,2015-05-20,2018-10-21,Closed,Two storey dwelling with attached garage at grade,Sfd,Sfd,1,0,"551,000",0,306.5
08 159715 BLD,SFD - Detached,"6 TALBOT RD   Toronto, Ontario, Canada",Toronto,Canada,2008-05-16,2008-08-22,2014-12-05,Closed,2-storey dwelling,Sfd,Sfd,1,0,"550,000",0,359.698
10 278563 BLD,SFD - Detached,"306 CONNAUGHT AVE   Toronto, Ontario, Canada",Toronto,Canada,2010-10-15,2011-01-14,2014-11-12,Closed,New two storey dwelling with finished basement.,Sfd,Sfd,1,0,"550,000",0,356.65
12 145245 BLD,SFD - Detached,"10 MERVYN AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-03-29,2012-06-21,2014-10-30,Closed,proposed new two storey dwelling on partial existing  first floor and foundation,Sfd,Sfd,1,0,"550,000",0,239.13
12 177596 BLD,SFD - Detached,"220 JOHNSTON AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-05-22,2012-09-12,2014-04-09,Closed,Two storey single family dwelling with attached garage,Sfd,Sfd,1,0,"550,000",0,344.57
12 189593 BLD,SFD - Detached,"56 WESTGATE BLVD   Toronto, Ontario, Canada",Toronto,Canada,2012-06-08,2012-09-18,2014-02-04,Closed,Two storey dwelling with integral garage and finished basement.,Sfd,Sfd,1,0,"550,000",0,304.3
12 196668 BLD,SFD - Detached,"176 ALFRED AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-06-20,2012-08-02,2014-08-08,Closed,Two storey dwelling with attached garage at grade,Sfd,Sfd,1,0,"550,000",0,277.4
12 262280 BLD,SFD - Detached,"11 MERVYN AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-10-15,2013-01-24,2014-04-29,Closed,Proposal to construct new 2 storey single family dwelling with attached garage,Vacant,Sfd-Detached,1,0,"550,000",0,258.54
12 262792 BLD,SFD - Detached,"233 KINGSDALE AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-10-15,2012-12-24,2014-06-26,Closed,"Two-storey dwelling with an integral, at-grade, two car garage",Sfd,Sfd,1,0,"550,000",0,329.2
12 279439 BLD,SFD - Detached,"143 JOHNSTON AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-11-15,2012-11-29,2014-02-13,Closed,Three storey dwelling with attached garage at grade.,Sfd,Sfd,1,0,"550,000",0,411.66
13 110727 BLD,SFD - Detached,"286 MELROSE AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-01-24,2013-05-02,2014-05-15,Closed,Two storey single family dwelling with attached garage,Sfd,Sfd,1,0,"550,000",0,349
13 125153 BLD,SFD - Detached,"26 KATHERINE RD   Toronto, Ontario, Canada",Toronto,Canada,2013-02-26,2013-03-26,2014-06-24,Closed,Two storey single family dwelling with integral at grade garage and finished basement.,Sfd,Sfd,1,0,"550,000",0,362.38
13 132268 BLD,SFD - Detached,"474 WOBURN AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-03-13,2013-03-28,2014-10-23,Closed,Two storey dwelling with attached garage at grade,Sfd,Sfd,1,0,"550,000",0,341.5
13 180881 BLD,SFD - Detached,"233 BURNETT AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-06-04,2013-06-21,2014-03-26,Closed,New three storey dwelling with attached garage.,Sfd,Sfd,1,0,"550,000",0,409
13 232609 BLD,SFD - Detached,"53 BRIAR HILL AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-09-09,2013-11-05,2014-12-04,Closed,Construction of a new three storey single family dwelling  with integral at grade garage on newly severed lot.,Sfd - Detached,Sfd - Detached,2,0,"550,000",0,221.44
13 232623 BLD,SFD - Detached,"53 BRIAR HILL AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-09-09,2013-11-05,2014-12-04,Closed,Construction of a new three storey single family dwelling and finished basement  on newly severed lot.,Sfd - Detached,Sfd - Detached,2,0,"550,000",0,201.91
09 188033 BLD,SFD - Detached,"629 ST GERMAIN AVE   Toronto, Ontario, Canada",Toronto,Canada,2009-11-13,2009-11-30,2015-07-06,Closed,New three storey dwelling with below grade parking,Sfd,Sfd,0,0,"550,000",0,439.06
12 138614 BLD,SFD - Detached,"12 PRESTEIGN AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-03-19,2012-07-06,2015-07-28,Closed,Permit to demo existing dwelling and construct new two storey single family detached dwelling - See 11 323887 ZZC and 11 326201 MV,Vacant,Same,1,0,"550,000",0,307.9
12 190761 BLD,SFD - Detached,"176 HARLANDALE AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-06-11,2012-07-19,2015-05-19,Closed,Two storey dwelling with attached garage grade,Sfd,Sfd,1,0,"550,000",0,342.16
12 244237 BLD,SFD - Detached,"332 DOUGLAS AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-09-11,2012-12-03,2015-10-14,Closed,Two storey dwelling with integral at grade garage and finished basement.,Sfd,Sfd,1,0,"550,000",0,301.12
12 244332 BLD,SFD - Detached,"79 LYTTON BLVD   Toronto, Ontario, Canada",Toronto,Canada,2012-09-11,2012-09-27,2015-04-13,Closed,Two storey dwelling with detached garage at grade,Sfd,Sfd,1,0,"550,000",0,378.75
13 141315 BLD,SFD - Detached,"329 R WINONA DR   Toronto, Ontario, Canada",Toronto,Canada,2013-03-27,2013-05-29,2015-07-22,Closed,Proposal to construct new two-storey detached sfd on the recently severed lot (see also 10-176298 ZZC and 10-308450 MV). See also 13- 141363 DM for demolition of existing detached garage on the lot.,Vacant,Detached Two-Storey Sfd,1,0,"550,000",0,181
13 186065 BLD,SFD - Detached,"15 SAUNDERS ST   Toronto, Ontario, Canada",Toronto,Canada,2013-06-11,2013-08-26,2015-07-30,Closed,Two storey dwelling with attached garage and finished basement,Sfd,Sfd,1,0,"550,000",0,312
13 205331 BLD,SFD - Detached,"96 LAURELCREST AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-07-16,2013-10-01,2015-11-13,Closed,Two storey single family dwelling with integral garage at grade,Sfd,Sfd,1,0,"550,000",0,345.289
13 244818 BLD,SFD - Detached,"21 VESTA DR   Toronto, Ontario, Canada",Toronto,Canada,2013-10-02,2013-10-25,2015-02-12,Closed,Proposal to demolish existing detached 3 storey SFD and build new 3 storey SFD.,Sfd,Sfd,1,0,"550,000",0,350.04
14 116759 BLD,SFD - Detached,"248 POYNTZ AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-02-12,2014-02-27,2015-03-04,Closed,Three  storey dwelling with attached garage .,Sfd,Sfd,1,0,"550,000",0,400.9
14 118832 BLD,SFD - Detached,"70 YORKVIEW DR   Toronto, Ontario, Canada",Toronto,Canada,2014-02-19,2014-03-24,2015-04-28,Closed,Proposed construction of a new two storey single family detached dwelling (362.69m2) with an integral at grade garage and finished basement area (168.61m2),Sfd - Detached,Sfd - Detached,1,0,"550,000",0,362.69
14 153753 BLD,SFD - Detached,"117 DELL PARK AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-05-08,2014-05-29,2015-07-06,Closed,Two storey dwelling with attached garage and finished basement,Sfd,Sfd,1,0,"550,000",0,339.11
14 154092 BLD,SFD - Detached,"686 BALLIOL ST   Toronto, Ontario, Canada",Toronto,Canada,2014-05-09,2014-06-03,2015-06-10,Closed,"Proposal to construct a new 3 storey SFD-detached dwelling.  See also 14 154090 DEM, 13 264575 ZZC, and 13 281488 MV.",Vacant,Sfd-Detached,1,0,"550,000",0,265
14 174785 BLD,SFD - Semi-Detached,"81 RUMSEY RD   Toronto, Ontario, Canada",Toronto,Canada,2014-06-16,2014-07-02,2015-11-04,Closed,Two storey semi-detached single family dwelling with finished basement,Vacant Land,Two Storey Semi-Detached Sfd,1,0,"550,000",0,201.06
14 174828 BLD,SFD - Semi-Detached,"83 RUMSEY RD   Toronto, Ontario, Canada",Toronto,Canada,2014-06-16,2014-06-26,2015-11-04,Closed,Two storey semi-detached single family dwelling with finished basement,Vacant Land,Two Storey Semi-Detached Sfd,1,0,"550,000",0,201.06
14 251680 BLD,SFD - Detached,"59 LOTHIAN AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-11-13,2014-12-18,2015-10-30,Closed,To construct 2-Storey Single Family Detached Dwelling with Integral Garage.,Single Family Detached House,Single Family Detached House,1,0,"550,000",0,337.76
12 224761 BLD,SFD - Detached,"15 LICHEN PL   Toronto, Ontario, Canada",Toronto,Canada,2012-08-07,2012-11-14,2016-05-06,Closed,Two storey single family dwelling with integral gargae at grade and finished basement.,Sfd,Sfd,1,0,"550,000",0,293.96
12 283905 BLD,SFD - Detached,"45 DUNBLAINE AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-11-23,2013-03-28,2016-04-29,Cancelled,Three storey single family dwelling with integral at grade garage and finished basement.,Sfd,Sfd,1,0,"550,000",0,397.68
13 170737 BLD,SFD - Detached,"273 BRIAR HILL AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-05-17,2013-09-18,2016-04-27,Closed,Two storey single family dwelling with integral garage at grade,Sfd,Sfd,1,0,"550,000",0,195.141
13 174809 BLD,SFD - Detached,"46 EASTGLEN CRES   Toronto, Ontario, Canada",Toronto,Canada,2013-05-27,2014-07-31,2016-08-23,Closed,Proposal to construct new 2 storey sfd-detached with integral garage,Vacant,Sfd-Detached,1,0,"550,000",0,365.66
13 269383 B01,SFD - Detached,"716 MARLEE AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-11-25,2014-04-10,2016-01-18,Closed,Construct a new two storey single family dwelling with intergal garage,Sfd-Detached,Sfd-Detached,1,0,"550,000",0,432.59
13 269383 B02,SFD - Detached,"716 MARLEE AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-11-25,2014-04-10,2016-08-17,Closed,Construct a new two storey single family dwelling with intergal garage,Sfd-Detached,Sfd-Detached,1,0,"550,000",0,432.59
13 269383 B03,SFD - Detached,"716 MARLEE AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-11-25,2014-04-10,2016-01-18,Closed,Construct a new two storey single family dwelling with intergal garage,Sfd-Detached,Sfd-Detached,1,0,"550,000",0,441.52
13 269383 B04,SFD - Detached,"716 MARLEE AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-11-25,2014-04-10,2016-02-03,Closed,Construct a new two storey single family dwelling with intergal garage,Sfd-Detached,Sfd-Detached,1,0,"550,000",0,427.2
14 171186 BLD,SFD - Detached,"126 PARK HOME AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-10,2014-06-27,2016-09-26,Closed,Two storey detached single family dwelling with integral garage and finished basement,Vacant Land,Two Storey Detached Sfd,1,0,"550,000",0,395.1
14 189131 BLD,SFD - Detached,"122 PARK HOME AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-07-11,2014-07-18,2016-06-21,Closed,New three storey dwelling with attached garage.,Sfd,Sfd,1,0,"550,000",0,395.22
14 203453 BLD,SFD - Detached,"27 ELMA ST   Toronto, Ontario, Canada",Toronto,Canada,2014-08-08,2014-08-27,2016-01-08,Closed,Construct new two storey dwelling with attached garage.,Sfd,Sfd,1,0,"550,000",0,309.44
14 249878 BLD,SFD - Detached,"21 KINKORA DR   Toronto, Ontario, Canada",Toronto,Canada,2014-11-10,2014-11-27,2016-06-09,Closed,To construct new 2 Storey Single Family Detached House.,Single Family Detached House,Single Family Detached House,1,0,"550,000",0,354
15 126986 BLD,SFD - Detached,"14 GWENDOLEN AVE   Toronto, Ontario, Canada",Toronto,Canada,2015-03-12,2015-06-01,2016-06-02,Closed,To construction of a new three storey single family detached dwelling  with integral at grade garage.,Sfd,Sfd,1,0,"550,000",0,392.48
15 171042 BLD,SFD - Detached,"1042 WILLOWDALE AVE   Toronto, Ontario, Canada",Toronto,Canada,2015-06-09,2015-08-12,2016-10-24,Closed,Proposal to construct a 2-storey single family dwelling with integral garage an finished basement.,Vacant,House,1,0,"550,000",0,335.87
15 177512 BLD,SFD - Detached,"316 HEATH ST E Toronto, Ontario, Canada",Toronto,Canada,2015-06-19,2015-08-10,2016-09-15,Closed,Permit to demolish existing 2-storey single family detached house & construct new 3-storey single family detached house with rear yard deck & covered porch.,Single Family Detached,Single Family Detached,1,0,"550,000",0,298.67
16 197776 BLD,SFD - Detached,"23 DUNCAIRN DR   Toronto, Ontario, Canada",Toronto,Canada,2016-07-27,,2016-12-06,Cancelled,Proposal to construct a new 2-storey dwelling.,Vacant Lot,Single-Family Detached House,1,0,"550,000",0,350
12 108979 BLD,SFD - Detached,"26 DONALBERT RD   Toronto, Ontario, Canada",Toronto,Canada,2012-01-20,2012-05-18,2017-05-19,Closed,Proposed construction of a new (2) storey detached single family dwelling with an attached garage and finished basement.,Vacant,Sfd - Detached,1,0,"550,000",0,352.86
12 202300 BLD,SFD - Detached,"493 HOUNSLOW AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-06-28,2012-10-19,2017-02-09,Cancelled,Two storey dwelling with integral garage at grade and finished basement.,Sfd,Sfd,1,0,"550,000",0,356.64
14 123958 BLD,SFD - Detached,"119 PARK HOME AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-03-03,2014-03-27,2017-06-26,Closed,Construct a new three storey single family dwelling (311.99 m2) with intergal garage.,Sfd-Detached,Sfd-Detached,1,0,"550,000",0,411.43
14 192854 BLD,SFD - Detached,"235 ROSEMOUNT AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-07-18,2014-08-01,2017-10-17,Closed,"Construct new two storey sfd dwelling with attached garage
Refer to ZZC 14-142342 and related DEMO 14-192881",Sfd,Sfd,1,0,"550,000",0,298
