PERMIT_NUM,STRUCTURE_TYPE,ADDRESS,City,Country,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,RESIDENTIAL
15 209572 BLD,SFD - Detached,"98 FOCH AVE   Toronto, Ontario, Canada",Toronto,Canada,2015-08-19,2015-10-22,2017-05-23,Closed,Proposal to construct 2 storey dwelling with integral garage. (PART 2),Vacant,Sfd-Detached,1,0,"300,000",0,177.07
15 231633 BLD,SFD - Detached,"34 JOICEY BLVD   Toronto, Ontario, Canada",Toronto,Canada,2015-10-01,2015-11-09,2017-10-30,Closed,To construct new 2 storey single family detached dwelling.,Single Family Dwelling,Single Family Dwelling,1,0,"300,000",0,288.84
15 241200 BLD,SFD - Detached,"105 TWENTY SECOND ST   Toronto, Ontario, Canada",Toronto,Canada,2015-10-22,2016-01-20,2017-11-07,Closed,Proposal to construct 2-storey detached dwelling with integral garage and finished basement.,Sfd-Detached,Sfd-Detached,1,0,"300,000",0,256.58
15 241211 BLD,SFD - Detached,"105 TWENTY SECOND ST   Toronto, Ontario, Canada",Toronto,Canada,2015-10-22,2016-01-20,2017-11-07,Closed,Proposal to construct 2-storey detached dwelling with integral garage and finished basement.,Sfd-Detached,Sfd-Detached,1,0,"300,000",0,256.58
15 250382 BLD,SFD - Detached,"256 QUEENS DR   Toronto, Ontario, Canada",Toronto,Canada,2015-11-12,2016-01-27,2017-09-14,Closed,Proposal to construct a new detached 2 storey dwelling (PART 1) with integral garage and finished basement.,Sfd-Detached,Sfd-Detached,1,0,"300,000",0,271.88
15 250390 BLD,SFD - Detached,"256 QUEENS DR   Toronto, Ontario, Canada",Toronto,Canada,2015-11-12,2016-01-27,2017-09-14,Closed,Proposal to construct a new detached 2 storey dwelling (PART 2) with integral garage and finished basement.,Sfd-Detached,Sfd-Detached,1,0,"300,000",0,271.88
15 250505 BLD,SFD - Detached,"15 B PICKFORD RD   Toronto, Ontario, Canada",Toronto,Canada,2015-11-12,2016-01-27,2017-05-23,Closed,Proposal to construct new two storey single family detached dwelling with integral garage on vacant lot,Vacant   ,Sfd-Detached ,1,0,"300,000",0,297
16 104474 BLD,SFD - Detached,"1 AURA LEA BLVD   Toronto, Ontario, Canada",Toronto,Canada,2016-01-14,2016-03-01,2017-07-17,Closed,Proposal to construct a new 2-storey detached dwelling.,Single-Family Detached House,New Single-Family Detached House,1,0,"300,000",0,151.7
16 131814 BLD,SFD - Detached,"59 GLOUCESTER GRV   Toronto, Ontario, Canada",Toronto,Canada,2016-03-23,2016-04-14,2017-09-18,Closed,"Proposal to construct a new single family detached dwelling with integral garage (120.3m2).  Also see 15-190155 ZZC, C of A file A0839/15TEY, and 16-131836 DEM.",Vacant,Sfd - Detached,1,0,"300,000",0,120.3
16 147808 BLD,SFD - Detached,"69 HOLMSTEAD AVE   Toronto, Ontario, Canada",Toronto,Canada,2016-04-29,2016-05-13,2017-05-19,Closed,Proposal to demolish existing dwelling and construct new 2 storey detached single family dwelling with integral garage.,Vacant,Sfd,1,0,"300,000",0,198.6
16 148722 BLD,SFD - Detached,"36 B DOVERWOOD CRT   Toronto, Ontario, Canada",Toronto,Canada,2016-05-02,2016-06-16,2017-10-18,Closed,New two storey dwelling with attached garage and finished basement.,Sfd,Sfd,1,0,"300,000",0,314.14
16 163983 BLD,SFD - Detached,"325 DOUGLAS AVE   Toronto, Ontario, Canada",Toronto,Canada,2016-05-30,2016-06-14,2017-07-07,Closed,Proposal to construct new two-storey single family detached dwelling (245.4m2).,2,Sfd - Detached,1,0,"300,000",0,316.5
16 168434 BLD,SFD - Detached,"41 NORTH WOODROW BLVD   Toronto, Ontario, Canada",Toronto,Canada,2016-06-06,2016-07-19,2017-11-20,Closed,Proposal to construct a new dwelling with existing foundation walls.,Vacant,Single-Family Detached House,1,0,"300,000",0,197.2
16 177052 BLD,SFD - Detached,"6 HOLBORNE AVE   Toronto, Ontario, Canada",Toronto,Canada,2016-06-20,2016-08-31,2017-11-08,Closed,Proposal to construct new 2 storey house with finished basement and at grade integral garage. ,Sfd,Sfd,1,0,"300,000",0,149.29
16 177099 BLD,SFD - Detached,"6 HOLBORNE AVE   Toronto, Ontario, Canada",Toronto,Canada,2016-06-20,2016-08-31,2017-12-08,Closed,Proposal to construct new 2 storey house with finished basement and at grade integral garage. ,Sfd,Sfd,1,0,"300,000",0,149.66
16 208970 BLD,SFD - Detached,"7 DURIE ST   Toronto, Ontario, Canada",Toronto,Canada,2016-08-18,2016-09-19,2017-12-20,Closed,Proposal to construct a new 2-storey dwelling.,Vacant Lot,Single-Family Dwelling,1,0,"300,000",0,195.1
